price,location,brand,type,year,mileage
132500000,Jatinegara,Honda,Mobilio,2016,60.000-65.000
132500000,Duren Sawit,Honda,Mobilio,2016,60.000-65.000
132500000,Ciracas,Honda,Mobilio,2016,60.000-65.000
132500000,Pasar Minggu,Honda,Mobilio,2016,60.000-65.000
132500000,Kebayoran Lama,Honda,Mobilio,2016,60.000-65.000
132500000,Jagakarsa,Honda,Mobilio,2016,60.000-65.000
176000000,Cilandak,Suzuki,SX4,2018,70.000-75.000
130000000,Cengkareng,Nissan,Grand livina,2017,30.000-35.000
96000000,Duren Sawit,Honda,Brio Satya,2015,90.000-95.000
136000000,Pademangan,Nissan,Serena,2014,115.000-120.000
113500000,Cakung,Toyota,Calya,2019,125.000-130.000
175000000,Cempaka Putih,Toyota,Kijang Innova,2014,115.000-120.000
144000000,Cilandak,Toyota,Avanza,2017,120.000-125.000
153500000,Penjaringan,Toyota,Sienta,2017,115.000-120.000
132500000,Taman Sari,Honda,Mobilio,2016,60.000-65.000
132500000,Grogol Petamburan,Honda,Mobilio,2016,60.000-65.000
132500000,Cengkareng,Honda,Mobilio,2016,60.000-65.000
128000000,Cilangkap,Honda,Brio Satya,2018,70.000-75.000
128000000,Kelapa Gading,Honda,Brio Satya,2018,70.000-75.000
128000000,Jatinegara,Honda,Brio Satya,2018,70.000-75.000
128000000,Cipayung,Honda,Brio Satya,2018,70.000-75.000
128000000,Pasar Minggu,Honda,Brio Satya,2018,70.000-75.000
128000000,Kebayoran Lama,Honda,Brio Satya,2018,70.000-75.000
128000000,Jagakarsa,Honda,Brio Satya,2018,70.000-75.000
128000000,Tanah Abang,Honda,Brio Satya,2018,70.000-75.000
128000000,Palmerah,Honda,Brio Satya,2018,70.000-75.000
137000000,Pantai Indah Kapuk,Toyota,Yaris,2015,55.000-60.000
191000000,Kembangan,Wuling,Almaz,2019,30.000-35.000
133000000,Makasar,Suzuki,Ertiga,2015,55.000-60.000
87000000,Pancoran,Daihatsu,Ayla,2018,60.000-65.000
133000000,Cengkareng,Honda,Brio,2017,70.000-75.000
140000000,Cilandak,Volkswagen,Touran,2014,80.000-85.000
350000000,Kebayoran Baru,Mitsubishi,Pajero Sport,2016,80.000-85.000
115000000,Cilandak,Suzuki,Ertiga,2013,90.000-95.000
128000000,Grogol Petamburan,Honda,Brio Satya,2018,70.000-75.000
128000000,Cengkareng,Honda,Brio Satya,2018,70.000-75.000
112000000,Pekayon,Daihatsu,Xenia,2016,145.000-150.000
112000000,Pantai Indah Kapuk,Daihatsu,Xenia,2016,145.000-150.000
112000000,Kemang,Daihatsu,Xenia,2016,145.000-150.000
112000000,Duren Sawit,Daihatsu,Xenia,2016,145.000-150.000
112000000,Ciracas,Daihatsu,Xenia,2016,145.000-150.000
112000000,Pesanggrahan,Daihatsu,Xenia,2016,145.000-150.000
112000000,Kebayoran Lama,Daihatsu,Xenia,2016,145.000-150.000
112000000,Cempaka Putih,Daihatsu,Xenia,2016,145.000-150.000
112000000,Kalideres,Daihatsu,Xenia,2016,145.000-150.000
112000000,Grogol Petamburan,Daihatsu,Xenia,2016,145.000-150.000
155000000,Palmerah,Honda,BR-V,2017,125.000-130.000
172000000,Kebon Jeruk,Toyota,Yaris,2018,10.000-15.000
194000000,Cilandak,Honda,HR-V,2016,70.000-75.000
330000000,Kebon Jeruk,Toyota,Fortuner,2017,65.000-70.000
392000000,Cilincing,Mazda,CX-5,2019,80.000-85.000
175000000,Kebayoran Baru,Honda,Freed,2013,45.000-50.000
197000000,Pademangan,Nissan,Livina,2019,100.000-105.000
165000000,Cibubur,Toyota,Nav1,2013,85.000-90.000
112000000,Cengkareng,Daihatsu,Xenia,2016,145.000-150.000
193500000,Cilangkap,Toyota,Rush,2018,55.000-60.000
193500000,Tanjung Duren,Toyota,Rush,2018,55.000-60.000
193500000,Tanjung Barat,Toyota,Rush,2018,55.000-60.000
193500000,Kemang,Toyota,Rush,2018,55.000-60.000
193500000,Tanjung Priok,Toyota,Rush,2018,55.000-60.000
193500000,Jatinegara,Toyota,Rush,2018,55.000-60.000
193500000,Ciracas,Toyota,Rush,2018,55.000-60.000
193500000,Pasar Minggu,Toyota,Rush,2018,55.000-60.000
193500000,Grogol Petamburan,Toyota,Rush,2018,55.000-60.000
193500000,Cengkareng,Toyota,Rush,2018,55.000-60.000
157500000,Pekayon,Toyota,Sienta,2016,80.000-85.000
407000000,Kramat Jati,Toyota,Camry,2019,85.000-90.000
192000000,Cakung,Toyota,Rush,2018,80.000-85.000
384000000,Cempaka Putih,Honda,CR-V,2017,120.000-125.000
327000000,Kelapa Gading,Mitsubishi,Pajero Sport,2016,145.000-150.000
102000000,Pademangan,Daihatsu,Ayla,2018,90.000-95.000
119000000,Kemayoran,Honda,Mobilio,2014,85.000-90.000
394000000,Kebayoran Baru,Honda,CR-V,2019,70.000-75.000
120500000,Cakung,Honda,Mobilio,2014,110.000-115.000
157500000,Kramat Jati,Toyota,Sienta,2016,80.000-85.000
157500000,Duren Sawit,Toyota,Sienta,2016,80.000-85.000
157500000,Ciracas,Toyota,Sienta,2016,80.000-85.000
157500000,Cakung,Toyota,Sienta,2016,80.000-85.000
157500000,Pesanggrahan,Toyota,Sienta,2016,80.000-85.000
157500000,Pancoran,Toyota,Sienta,2016,80.000-85.000
157500000,Kebayoran Lama,Toyota,Sienta,2016,80.000-85.000
157500000,Palmerah,Toyota,Sienta,2016,80.000-85.000
157500000,Grogol Petamburan,Toyota,Sienta,2016,80.000-85.000
157500000,Cengkareng,Toyota,Sienta,2016,80.000-85.000
163500000,Cilangkap,Honda,Mobilio,2018,95.000-100.000
163500000,Pekayon,Honda,Mobilio,2018,95.000-100.000
133000000,Duren Sawit,Toyota,Sienta,2017,105.000-110.000
139000000,Duren Sawit,Toyota,Rush,2013,115.000-120.000
123000000,Ciracas,Daihatsu,Sigra,2019,65.000-70.000
170000000,Tebet,Mazda,2,2016,60.000-65.000
155000000,Cakung,Toyota,Avanza,2016,75.000-80.000
122000000,Kramat Jati,Chevrolet,Captiva,2013,125.000-130.000
192000000,Cibubur,Toyota,Rush,2018,95.000-100.000
204000000,Cakung,Honda,HR-V,2017,90.000-95.000
163500000,Jatinegara,Honda,Mobilio,2018,95.000-100.000
163500000,Duren Sawit,Honda,Mobilio,2018,95.000-100.000
163500000,Ciracas,Honda,Mobilio,2018,95.000-100.000
163500000,Pasar Minggu,Honda,Mobilio,2018,95.000-100.000
163500000,Kebayoran Lama,Honda,Mobilio,2018,95.000-100.000
163500000,Jagakarsa,Honda,Mobilio,2018,95.000-100.000
163500000,Taman Sari,Honda,Mobilio,2018,95.000-100.000
163500000,Grogol Petamburan,Honda,Mobilio,2018,95.000-100.000
163500000,Cengkareng,Honda,Mobilio,2018,95.000-100.000
135500000,Pekayon,Honda,Brio,2017,45.000-50.000
135500000,Pasar Baru,Honda,Brio,2017,45.000-50.000
135500000,Kelapa Gading,Honda,Brio,2017,45.000-50.000
112000000,Tebet,Daihatsu,Sirion,2015,85.000-90.000
341000000,Cempaka Putih,Toyota,Kijang Innova,2019,45.000-50.000
211500000,Kemang,Suzuki,Ertiga,2022,15.000-20.000
93000000,Cengkareng,Daihatsu,Ayla,2017,35.000-40.000
111000000,Cilangkap,Daihatsu,Ayla,2019,40.000-45.000
192000000,Duren Sawit,Mitsubishi,Xpander,2019,45.000-50.000
199000000,Tambora,Mitsubishi,Xpander,2018,45.000-50.000
399000000,Pademangan,Honda,CR-V,2019,75.000-80.000
135500000,Kramat Jati,Honda,Brio,2017,45.000-50.000
135500000,Duren Sawit,Honda,Brio,2017,45.000-50.000
135500000,Tebet,Honda,Brio,2017,45.000-50.000
135500000,Pasar Minggu,Honda,Brio,2017,45.000-50.000
135500000,Cilandak,Honda,Brio,2017,45.000-50.000
135500000,Kembangan,Honda,Brio,2017,45.000-50.000
135500000,Grogol Petamburan,Honda,Brio,2017,45.000-50.000
135500000,Cengkareng,Honda,Brio,2017,45.000-50.000
195000000,Kebon Jeruk,Honda,Jazz,2020,45.000-50.000
230000000,Cilandak,Toyota,Altis,2018,85.000-90.000
142000000,Pekayon,Toyota,Sienta,2017,115.000-120.000
142000000,Kramat Jati,Toyota,Sienta,2017,115.000-120.000
111000000,Jagakarsa,Honda,Brio Satya,2017,30.000-35.000
90000000,Kramat Jati,Suzuki,Karimun Wagon R,2019,50.000-55.000
88500000,Cilincing,Mitsubishi,Mirage,2016,90.000-95.000
249000000,Penjaringan,Honda,HR-V,2020,35.000-40.000
118000000,Pademangan,Toyota,Agya,2020,25.000-30.000
138000000,Cipayung,Toyota,Calya,2021,15.000-20.000
142000000,Duren Sawit,Toyota,Sienta,2017,115.000-120.000
142000000,Ciracas,Toyota,Sienta,2017,115.000-120.000
142000000,Cakung,Toyota,Sienta,2017,115.000-120.000
142000000,Pesanggrahan,Toyota,Sienta,2017,115.000-120.000
142000000,Pancoran,Toyota,Sienta,2017,115.000-120.000
142000000,Kebayoran Lama,Toyota,Sienta,2017,115.000-120.000
142000000,Palmerah,Toyota,Sienta,2017,115.000-120.000
142000000,Grogol Petamburan,Toyota,Sienta,2017,115.000-120.000
142000000,Cengkareng,Toyota,Sienta,2017,115.000-120.000
285000000,Kramat Jati,Mercedes-Benz,C250,2012,40.000-45.000
75000000,Kebayoran Baru,Honda,Odyssey,2001,85.000-90.000
395000000,Kebayoran Lama,Toyota,Fortuner,2019,65.000-70.000
158000000,Kemayoran,Toyota,Avanza,2018,70.000-75.000
220000000,Makasar,Honda,HR-V,2017,65.000-70.000
227000000,Kelapa Gading,Mitsubishi,Xpander,2019,15.000-20.000
106000000,Kelapa Gading,Suzuki,Ignis,2017,80.000-85.000
239500000,Tebet,Honda,HR-V,2018,45.000-50.000
145500000,Daan Mogot,Honda,Mobilio,2017,125.000-130.000
174000000,Duren Sawit,Daihatsu,Terios,2019,70.000-75.000
165500000,Grogol Petamburan,Suzuki,Ertiga,2019,70.000-75.000
210000000,Duren Sawit,Toyota,Raize,2021,40.000-45.000
150000000,Kemayoran,Daihatsu,Xenia,2019,50.000-55.000
140000000,Cibubur,Daihatsu,Xenia,2018,100.000-105.000
