product_name,price,year_mileage,location
Honda Freed,Rp 151.000.000,2013 - 125.000-130.000 km,JagakarsaKemarin
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,Tanjung PriokHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,JatinegaraHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,Pasar MingguHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,Kebayoran LamaHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,Tanah AbangHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,Grogol PetamburanHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,CengkarengHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,CibuburHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,PademanganHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,Duren SawitHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,TebetHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,Pasar MingguHari ini
Toyota Yaris,Rp 231.000.000,2021 - 0-5.000 km,Jagakarsa06 Nov
Suzuki Ignis,Rp 111.000.000,2018 - 100.000-105.000 km,Cengkareng17 Okt
Suzuki XL7,Rp 225.000.000,2022 - 20.000-25.000 km,Pancoran05 Des
Toyota Agya,Rp 134.000.000,2020 - 30.000-35.000 km,Cengkareng15 Agu
BMW X5,Rp 1.400.000.000,2021 - 30.000-35.000 km,Pasar Minggu5 hari yang lalu
Nissan Grand livina,Rp 123.000.000,2017 - 100.000-105.000 km,Grogol Petamburan6 hari yang lalu
Suzuki Baleno,Rp 152.500.000,2018 - 100.000-105.000 km,Grogol Petamburan4 hari yang lalu
Toyota Alphard,Rp 625.000.000,2015 - 75.000-80.000 km,Kemayoran5 hari yang lalu
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,JagakarsaHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,CilandakHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,Tanah AbangHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,Grogol PetamburanHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,CengkarengHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,Tanjung BaratHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,KemangHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,PademanganHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,Kramat JatiHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,CakungHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,PesanggrahanHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,Pasar MingguHari ini
Honda HR-V,Rp 207.500.000,2017 - 65.000-70.000 km,Grogol Petamburan5 hari yang lalu
Toyota Sienta,Rp 159.000.000,2018 - 30.000-35.000 km,Kelapa Gading02 Nov
Toyota Yaris,Rp 206.000.000,2018 - 115.000-120.000 km,Palmerah4 hari yang lalu
Toyota Corolla Altis,Rp 230.000.000,2018 - 45.000-50.000 km,Pesanggrahan06 Okt
Suzuki Baleno,Rp 152.500.000,2019 - 65.000-70.000 km,PancoranKemarin
Suzuki Ertiga,Rp 116.000.000,2015 - 75.000-80.000 km,Kebayoran Lama2 hari yang lalu
BMW X1,Rp 450.000.000,2020 - 30.000-35.000 km,Jakarta Selatan08 Nov
Honda Mobilio,Rp 180.500.000,2021 - 25.000-30.000 km,Pantai Indah Kapuk5 hari yang lalu
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,Kebayoran LamaHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,Tanah AbangHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,Grogol PetamburanHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,CengkarengHari ini
Honda Brio Satya,Rp 126.000.000,2018 - 95.000-100.000 km,Tanjung BaratHari ini
Honda Brio Satya,Rp 126.000.000,2018 - 95.000-100.000 km,PekayonHari ini
Honda Brio Satya,Rp 126.000.000,2018 - 95.000-100.000 km,KemangHari ini
Honda Brio Satya,Rp 126.000.000,2018 - 95.000-100.000 km,Kramat JatiHari ini
Honda Brio Satya,Rp 126.000.000,2018 - 95.000-100.000 km,Duren SawitHari ini
Honda Brio Satya,Rp 126.000.000,2018 - 95.000-100.000 km,CiracasHari ini
Honda Brio Satya,Rp 126.000.000,2018 - 95.000-100.000 km,CakungHari ini
Honda Brio Satya,Rp 126.000.000,2018 - 95.000-100.000 km,Kebayoran LamaHari ini
Toyota Agya,Rp 85.000.000,2014 - 100.000-105.000 km,JatinegaraHari ini
Toyota Avanza,Rp 136.500.000,2015 - 80.000-85.000 km,Jagakarsa6 hari yang lalu
Toyota Agya,Rp 95.000.000,2015 - 75.000-80.000 km,Cakung09 Des
Wuling Almaz RS,Rp 2.470.000.000,2021 - 10.000-15.000 km,Tebet13 Nov
Honda Brio,Rp 98.500.000,2013 - 100.000-105.000 km,PancoranKemarin
Nissan Elgrand,Rp 139.000.000,2008 - 150.000-155.000 km,Setia Budi6 hari yang lalu
Toyota Kijang Innova,Rp 325.000.000,2018 - 90.000-95.000 km,Menteng30 Nov
BMW 520i,Rp 625.000.000,2018 - 30.000-35.000 km,Tebet10 Des
Honda Brio Satya,Rp 126.000.000,2018 - 95.000-100.000 km,KembanganHari ini
Honda Brio Satya,Rp 126.000.000,2018 - 95.000-100.000 km,Grogol PetamburanHari ini
Honda Brio Satya,Rp 126.000.000,2018 - 95.000-100.000 km,CengkarengHari ini
Honda Freed,Rp 140.000.000,2013 - 95.000-100.000 km,Tanjung BaratHari ini
Honda Freed,Rp 140.000.000,2013 - 95.000-100.000 km,PekayonHari ini
Honda Freed,Rp 140.000.000,2013 - 95.000-100.000 km,KemangHari ini
Honda Freed,Rp 140.000.000,2013 - 95.000-100.000 km,PademanganHari ini
Honda Freed,Rp 140.000.000,2013 - 95.000-100.000 km,CakungHari ini
Honda Freed,Rp 140.000.000,2013 - 95.000-100.000 km,PesanggrahanHari ini
Honda Freed,Rp 140.000.000,2013 - 95.000-100.000 km,Pasar MingguHari ini
Honda Freed,Rp 140.000.000,2013 - 95.000-100.000 km,Kebayoran LamaHari ini
Honda Freed,Rp 140.000.000,2013 - 95.000-100.000 km,KemayoranHari ini
Toyota Yaris,Rp 137.000.000,2015 - 55.000-60.000 km,Grogol Petamburan07 Des
Daihatsu Terios,Rp 128.000.000,2015 - 85.000-90.000 km,Setia Budi5 hari yang lalu
Mitsubishi Xpander,Rp 217.000.000,2019 - 35.000-40.000 km,Kelapa Gading29 Okt
Daihatsu Ayla,Rp 64.000.000,2016 - 80.000-85.000 km,Kramat Jati03 Des
Honda CR-V,Rp 423.000.000,2021 - 30.000-35.000 km,Jagakarsa10 Des
